region,country,lat,lon,energy_platform,capacity_GW_2025,capacity_GW_2050,capacity_GW_2070,generation_TWh_2025,generation_TWh_2050,generation_TWh_2070,consumption_TWh_2025,consumption_TWh_2050,consumption_TWh_2070,efficiency_pct_2025,efficiency_pct_2050,efficiency_pct_2070,carbon_emission_MtCO2_2025,carbon_emission_MtCO2_2050,carbon_emission_MtCO2_2070,ai_forecast_confidence_pct,notes
Middle East,Qatar,-58.0313,-90.5487,Space-based Solar,130.13,385.77,937.33,439.17,1430.3,3340.65,371.04,1246.81,3051.06,64.61,78.01,92.49,10.39,4.14,1.58,96.22,Space-based Solar expansion projected with strong AI-backed growth model.
North America,Canada,-12.7049,-66.7175,Geothermal Plants,34.24,92.69,192.27,94.39,361.07,711.03,84.12,399.01,593.51,67.22,73.57,84.67,385.63,189.21,49.5,71.95,Geothermal Plants expansion projected with strong AI-backed growth model.
South America,Brazil,65.795,-127.2558,Solar Farms,44.87,170.31,486.53,157.94,393.11,1513.24,168.78,325.48,1255.5,60.51,73.12,90.82,367.59,225.24,93.89,83.81,Solar Farms expansion projected with strong AI-backed growth model.
Europe,France,-3.8847,-24.7041,Space-based Solar,181.91,681.54,1091.67,711.25,1791.41,4249.87,606.35,2138.21,4527.43,67.81,74.02,84.35,9.88,4.84,1.9,85.7,Space-based Solar expansion projected with strong AI-backed growth model.
Oceania,New Zealand,28.9254,11.039,Geothermal Plants,98.67,319.51,845.31,257.75,883.89,2446.38,240.06,893.87,2631.83,56.12,67.18,74.13,382.63,205.35,45.37,88.37,Geothermal Plants expansion projected with strong AI-backed growth model.
Oceania,Australia,37.879,39.8643,Fusion Reactors,32.51,129.49,334.4,122.68,322.94,778.61,103.55,378.75,690.27,48.22,61.96,70.69,6.35,2.33,0.39,77.64,Fusion Reactors expansion projected with strong AI-backed growth model.
Oceania,Australia,56.9748,74.8834,Solar Farms,153.56,337.99,847.56,526.39,1196.76,2783.77,580.38,1432.25,3320.55,48.57,58.3,72.86,349.92,107.28,40.04,89.89,Solar Farms expansion projected with strong AI-backed growth model.
North America,Mexico,-25.6786,-59.8397,Solar Farms,45.04,108.23,282.01,133.37,376.1,1073.23,133.33,435.72,1221.83,66.44,80.78,89.36,153.36,100.89,50.04,84.28,Solar Farms expansion projected with strong AI-backed growth model.
Africa,South Africa,59.5254,91.2498,Wind Turbines,78.66,302.0,806.6,186.83,1079.59,2888.37,192.09,1003.23,2672.19,40.57,50.82,66.27,65.7,34.43,12.76,90.66,Wind Turbines expansion projected with strong AI-backed growth model.
Asia,South Korea,46.1168,107.2567,Solar Farms,55.32,141.56,422.33,134.38,424.71,1090.66,112.54,410.75,1034.59,64.01,75.59,92.31,106.47,42.15,8.19,84.18,Solar Farms expansion projected with strong AI-backed growth model.
Middle East,Saudi Arabia,53.0436,107.7267,Space-based Solar,18.28,63.11,181.06,54.01,206.6,584.46,50.39,197.07,529.06,59.93,71.21,81.83,34.33,23.98,4.45,76.43,Space-based Solar expansion projected with strong AI-backed growth model.
Middle East,Israel,-41.8179,-83.8384,Solar Farms,188.11,572.29,1100.52,680.85,1644.09,3182.62,703.49,1485.1,3346.53,52.94,58.55,69.44,271.5,83.7,28.97,76.06,Solar Farms expansion projected with strong AI-backed growth model.
South America,Chile,-11.7724,19.9947,Tidal Energy,96.33,225.61,602.4,310.0,769.89,1871.32,252.13,822.61,2008.67,56.34,64.13,83.84,405.8,185.61,57.21,89.63,Tidal Energy expansion projected with strong AI-backed growth model.
Asia,China,51.4554,-26.979,Fusion Reactors,72.35,251.18,618.89,235.44,548.23,1995.33,209.6,506.28,1836.08,58.71,65.25,82.7,11.37,7.93,1.42,70.8,Fusion Reactors expansion projected with strong AI-backed growth model.
Asia,South Korea,-48.4739,-71.6447,Geothermal Plants,30.26,103.59,268.58,118.63,408.53,874.33,102.85,391.44,1021.48,48.8,61.96,67.93,492.53,287.13,81.31,78.22,Geothermal Plants expansion projected with strong AI-backed growth model.
Africa,South Africa,-10.0981,147.2003,Hydrogen Cells,153.92,456.95,1072.8,508.59,1751.84,2449.36,468.33,1671.46,2507.18,56.05,70.89,79.12,52.68,34.81,9.96,77.14,Hydrogen Cells expansion projected with strong AI-backed growth model.
North America,USA,68.3437,-44.9221,Space-based Solar,189.03,432.22,814.73,497.36,941.46,1745.35,480.14,1113.75,1417.74,49.72,57.55,68.39,34.33,10.47,2.57,74.46,Space-based Solar expansion projected with strong AI-backed growth model.
South America,Argentina,51.0052,-112.2273,Solar Farms,62.22,195.4,567.76,244.83,393.7,1889.86,230.1,429.18,2168.12,59.88,69.1,78.2,189.87,123.92,39.25,74.57,Solar Farms expansion projected with strong AI-backed growth model.
Asia,China,20.7563,-82.2128,Tidal Energy,61.8,237.37,375.68,198.61,826.39,1026.56,220.41,694.33,1059.03,62.18,70.61,84.51,383.81,176.36,36.44,97.77,Tidal Energy expansion projected with strong AI-backed growth model.
South America,Chile,-32.3238,34.0648,Hydrogen Cells,146.12,391.97,1054.62,450.18,791.77,3460.84,513.99,660.22,3210.03,67.83,77.43,90.09,162.74,87.82,20.74,90.64,Hydrogen Cells expansion projected with strong AI-backed growth model.
Asia,Japan,42.0877,27.5484,Solar Farms,68.38,196.84,514.08,145.79,575.19,1436.16,144.34,515.43,1653.25,45.49,56.29,61.36,106.56,65.75,22.33,72.18,Solar Farms expansion projected with strong AI-backed growth model.
Africa,Kenya,-9.6291,48.2604,Tidal Energy,94.96,342.24,530.51,361.28,929.26,1827.33,383.01,910.04,2091.71,50.23,58.64,77.46,224.98,69.56,16.24,73.56,Tidal Energy expansion projected with strong AI-backed growth model.
North America,USA,30.572,63.6394,Wind Turbines,38.63,113.77,223.98,119.06,321.49,689.14,121.13,268.69,781.55,51.01,61.84,81.21,223.73,97.58,46.54,92.11,Wind Turbines expansion projected with strong AI-backed growth model.
North America,USA,6.0752,29.8885,Wind Turbines,115.86,321.01,894.17,461.61,1162.51,3451.21,503.91,1114.83,3177.53,67.35,78.53,86.58,406.17,226.58,60.19,74.38,Wind Turbines expansion projected with strong AI-backed growth model.
Africa,Kenya,58.6447,-88.2874,Wind Turbines,155.86,524.14,1087.74,560.94,1493.31,2178.1,633.15,1260.16,2243.55,63.52,77.47,90.75,196.86,72.18,30.85,84.79,Wind Turbines expansion projected with strong AI-backed growth model.
North America,USA,-29.2348,78.551,Wind Turbines,81.52,188.58,373.07,232.78,739.53,1283.6,255.22,768.14,1061.91,61.87,74.02,83.34,164.61,60.75,26.61,93.29,Wind Turbines expansion projected with strong AI-backed growth model.
Middle East,UAE,-39.1307,11.5571,Tidal Energy,110.88,242.67,512.09,435.11,768.28,1374.59,492.83,774.37,1395.71,53.69,64.75,79.17,261.18,131.1,37.35,94.61,Tidal Energy expansion projected with strong AI-backed growth model.
South America,Chile,59.06,-15.8039,Space-based Solar,199.01,744.34,2149.36,766.78,2249.91,7132.82,652.89,2089.73,7478.98,57.18,64.56,81.69,27.61,8.59,3.32,94.71,Space-based Solar expansion projected with strong AI-backed growth model.
South America,Chile,27.5337,93.412,Solar Farms,186.87,680.72,1159.71,475.08,2310.05,2606.74,450.28,2552.75,2397.1,49.24,56.67,67.06,61.51,40.72,6.49,98.09,Solar Farms expansion projected with strong AI-backed growth model.
Middle East,Qatar,-49.2575,87.9321,Geothermal Plants,156.55,484.13,1407.18,549.15,1716.51,4574.53,543.32,1477.45,5052.58,59.96,67.26,85.57,85.3,55.22,12.6,91.2,Geothermal Plants expansion projected with strong AI-backed growth model.
Africa,Nigeria,59.0028,-21.7211,Wind Turbines,47.81,139.54,359.04,102.7,469.71,1247.9,88.16,438.26,1284.63,51.5,62.67,72.93,103.19,61.38,11.43,95.49,Wind Turbines expansion projected with strong AI-backed growth model.
Africa,South Africa,-33.6406,-10.2479,Fusion Reactors,188.94,588.41,1527.91,731.19,1716.22,3185.29,703.85,1524.67,2944.08,51.48,65.08,85.08,41.81,24.71,6.96,83.0,Fusion Reactors expansion projected with strong AI-backed growth model.
Middle East,Qatar,29.8284,69.0327,Space-based Solar,78.45,161.24,371.34,259.21,488.88,1328.83,240.56,517.95,1087.76,50.94,64.78,70.1,38.18,18.42,4.9,84.92,Space-based Solar expansion projected with strong AI-backed growth model.
North America,Canada,-19.0698,104.8392,Geothermal Plants,147.4,484.15,1333.33,530.91,1227.4,4922.83,587.85,1381.96,5284.95,67.52,76.25,91.6,195.66,71.46,35.69,81.69,Geothermal Plants expansion projected with strong AI-backed growth model.
South America,Chile,17.2738,-94.9367,Hydrogen Cells,145.07,405.49,928.74,550.82,1511.35,2473.52,595.6,1320.45,2895.75,65.52,71.25,81.39,268.04,100.67,23.88,80.85,Hydrogen Cells expansion projected with strong AI-backed growth model.
Europe,UK,-2.701,132.4884,Geothermal Plants,111.19,435.84,813.39,427.33,1717.82,1868.95,450.53,1516.32,1677.4,50.13,64.62,72.19,296.76,183.56,44.16,88.97,Geothermal Plants expansion projected with strong AI-backed growth model.
North America,Canada,35.6444,-13.3713,Tidal Energy,165.31,406.33,756.13,353.8,1288.33,3019.98,326.68,1182.52,2500.49,57.6,68.1,85.94,248.92,158.1,69.89,86.47,Tidal Energy expansion projected with strong AI-backed growth model.
North America,Mexico,61.5397,146.8141,Space-based Solar,89.44,263.52,467.22,307.83,971.62,1054.8,356.92,1088.92,1178.51,55.59,65.67,77.05,40.85,25.86,7.93,87.47,Space-based Solar expansion projected with strong AI-backed growth model.
Middle East,Israel,15.8945,-120.8161,Geothermal Plants,35.78,125.58,344.15,96.33,433.37,818.99,106.38,377.2,961.84,62.83,69.59,86.42,281.9,146.86,55.12,73.0,Geothermal Plants expansion projected with strong AI-backed growth model.
Africa,Nigeria,62.2562,-115.2421,Space-based Solar,61.81,235.54,518.15,188.8,559.14,1638.34,178.72,640.54,1546.42,41.4,53.74,71.05,3.82,1.94,0.87,75.46,Space-based Solar expansion projected with strong AI-backed growth model.
Africa,Nigeria,42.0979,-132.5969,Wind Turbines,31.77,103.0,239.87,105.64,350.09,739.81,103.35,388.99,755.59,49.51,61.8,75.71,389.92,220.5,104.64,72.47,Wind Turbines expansion projected with strong AI-backed growth model.
Europe,Italy,57.7856,25.2242,Hydrogen Cells,168.65,387.73,889.08,586.19,1365.3,2404.58,675.07,1130.92,2518.56,40.87,53.51,58.57,195.38,76.69,35.22,94.98,Hydrogen Cells expansion projected with strong AI-backed growth model.
Oceania,New Zealand,-1.585,-9.003,Solar Farms,50.05,138.58,275.26,180.71,427.72,1026.38,173.52,422.03,994.71,62.2,76.49,81.72,155.89,87.56,32.25,92.12,Solar Farms expansion projected with strong AI-backed growth model.
South America,Argentina,-38.5409,-42.1018,Fusion Reactors,153.06,565.8,1155.58,333.18,1348.61,3652.83,268.35,1458.27,3635.82,40.01,54.36,64.77,12.98,4.45,2.16,86.67,Fusion Reactors expansion projected with strong AI-backed growth model.
Middle East,Saudi Arabia,-40.4259,137.1614,Solar Farms,192.53,671.98,1707.1,605.23,1818.79,6276.11,714.66,1462.08,7417.64,64.74,75.74,87.2,389.35,179.12,80.05,95.58,Solar Farms expansion projected with strong AI-backed growth model.
Asia,India,33.0569,121.8078,Fusion Reactors,141.43,423.52,752.55,414.75,1601.69,1780.02,464.67,1460.65,1966.46,40.6,53.52,65.66,42.15,17.8,8.64,87.83,Fusion Reactors expansion projected with strong AI-backed growth model.
Asia,South Korea,46.8575,-29.4389,Hydrogen Cells,142.76,481.94,1177.65,562.89,1628.82,3813.46,472.08,1551.13,3169.57,51.14,58.15,69.1,234.51,78.25,27.93,76.47,Hydrogen Cells expansion projected with strong AI-backed growth model.
North America,USA,-22.0795,56.3198,Space-based Solar,44.32,165.68,486.94,172.75,496.65,1455.38,166.47,576.99,1511.31,57.29,66.26,78.08,18.64,9.72,1.71,83.39,Space-based Solar expansion projected with strong AI-backed growth model.
Oceania,Australia,-0.7369,23.9976,Geothermal Plants,83.83,311.63,777.09,173.43,874.22,2829.5,165.8,773.77,2555.55,46.33,52.19,62.92,135.95,83.81,24.55,89.81,Geothermal Plants expansion projected with strong AI-backed growth model.
