id,location_name,country,lat,lon,elevation_m,urban_type,population_2025_m,population_2030_m,population_2040_m,population_2050_m,population_2060_m,population_2070_m,co2_mt_2025,co2_mt_2030_proj,co2_mt_2040_proj,co2_mt_2050_proj,co2_mt_2060_proj,co2_mt_2070_proj,avg_temp_change_C_2070,sea_level_change_m_2070,renewable_share_2070_pct,infrastructure_index_2070,water_stress_index_2070,health_index_2070,gdp_per_capita_2070_usd,adaptation_policy_score_2070,migration_influx_2070_m,future_feature_tags,notes,model_confidence_pct,visualization_color
1,New Delhi,India,28.6139,77.209,216,Megacity,32.0,34.0,36.5,37.5,38.8,39.5,150.0,140.0,120.0,105.0,100.0,90.0,2.6,0.0,68,0.74,0.86,0.69,7200,72,3.0,"vertical-farms,ai-grid,ev-transit",Aggressive urban retrofit & solar adoption,76,#d7263d
2,Mumbai,India,19.076,72.8777,2,Coastal Megacity,22.0,23.0,24.0,25.0,25.8,26.3,120.0,110.0,85.0,65.0,50.0,42.0,2.2,1.9,88,0.81,0.72,0.76,9800,70,1.5,"floating-districts,tidal-energy,seawalls",Major coastal adaptation projects,71,#00a6fb
3,Beijing,China,39.9042,116.4074,43,Megacity,21.5,22.0,22.8,23.0,22.5,21.8,250.0,220.0,160.0,110.0,80.0,60.0,2.4,0.0,70,0.88,0.65,0.81,22000,80,0.5,"highspeed-transit,ai-ports,green-belts",Net-zero targets accelerate,83,#f4a261
4,Shanghai,China,31.2304,121.4737,4,Coastal Megacity,26.3,26.8,27.2,27.4,27.3,27.0,200.0,180.0,140.0,100.0,85.0,75.0,2.3,1.4,72,0.87,0.62,0.8,25000,84,0.8,"ai-ports,coastal-defenses,vertical-farms",Port automation & seawalls,82,#2b8cbe
5,New York City,USA,40.7128,-74.006,10,Coastal Megacity,8.5,8.7,8.9,9.0,9.1,9.2,140.0,125.0,95.0,70.0,60.0,50.0,2.0,1.3,78,0.9,0.48,0.85,68000,87,0.6,"coastal-defenses,smart-grid,ai-health",Extensive resilience investments,86,#1f78b4
6,Lagos,Nigeria,6.5244,3.3792,6,Rapidly Urbanizing,14.9,20.0,27.0,34.0,38.0,42.0,60.0,80.0,140.0,220.0,300.0,380.0,3.0,0.9,42,0.45,0.93,0.5,3500,48,10.0,"informal-settlements,solar-microgrids,urban-expansion",High growth; scenario-dependent,58,#7fb069
7,Cairo,Egypt,30.0444,31.2357,23,Megacity,20.5,22.5,25.0,27.0,28.5,29.4,95.0,100.0,110.0,125.0,140.0,155.0,3.2,0.0,38,0.52,0.96,0.58,5200,50,4.0,"desalination,solar-fields,informal-expansion",Severe water stress risks,54,#e07a5f
8,São Paulo,Brazil,-23.5505,-46.6333,760,Inland Megacity,12.3,12.6,12.9,13.1,13.2,13.3,85.0,82.0,75.0,65.0,58.0,50.0,2.1,0.0,73,0.72,0.56,0.77,18000,74,0.4,"urban-forests,water-reuse,ai-transport",Strong reforestation programs,76,#9b5de5
9,Jakarta,Indonesia,-6.2088,106.8456,8,Coastal Megacity,10.6,11.8,13.2,14.5,15.3,15.8,70.0,75.0,90.0,110.0,125.0,140.0,3.1,1.8,50,0.58,0.85,0.6,7500,60,2.0,"coastal-defenses,floating-infra,relocation-zones",Major flood risk & adaptation,59,#ffb703
10,Mexico City,Mexico,19.4326,-99.1332,2250,Highland Megacity,21.6,22.0,22.5,22.8,23.0,23.1,95.0,92.0,88.0,80.0,72.0,65.0,2.4,0.0,67,0.68,0.7,0.73,13000,69,0.3,"water-reuse,vertical-farms,ai-transport",Air quality & water reuse focus,72,#2a9d8f
11,Amazon Rewilding Zone,Brazil,-3.4653,-62.2159,120,Conservation/Forest,0.8,0.7,0.65,0.6,0.58,0.55,10.0,5.0,-30.0,-60.0,-90.0,-120.0,1.9,0.0,25,0.32,0.22,0.66,4000,62,-0.1,"rewilding,carbon-sinks,indigenous-led",Large-scale carbon removal efforts,56,#2ec4b6
12,Sahara Solar Hub,Algeria,23.4162,25.6628,450,Energy Megasite,5.0,5.5,6.2,7.0,7.6,8.1,5.0,4.0,3.0,2.0,1.5,1.0,3.6,0.0,99,0.62,0.99,0.6,12000,65,0.8,"solar-supergrid,desalination,hydrogen-exports",Gigawatt-scale CSP & export grid,64,#ffd166
13,Arctic Research City,Svalbard/Regional,78.2232,15.6469,10,Research Outpost,0.02,0.03,0.05,0.07,0.09,0.12,0.01,0.01,0.02,0.02,0.03,0.04,4.3,0.0,65,0.52,0.05,0.79,90000,70,0.01,"permafrost-monitoring,climate-probes,research-hubs",Key monitoring for ice & sea-level models,67,#8ecae6
14,Coastal Delta Barrier City (Dhaka region),Bangladesh,23.685,90.3563,5,Delta Adaptive,21.0,22.0,21.8,21.5,20.5,19.5,40.0,42.0,40.0,30.0,25.0,22.0,2.8,1.9,61,0.67,0.89,0.63,4200,64,-2.0,"mangrove-restoration,delta-barriers,floating-markets",Planned large-scale adaptation & relocations,62,#06d6a0
15,Rotterdam (Coastal Resilience Hub),Netherlands,51.9244,4.4777,-2,Adaptation Leader,1.0,1.05,1.1,1.12,1.15,1.2,15.0,12.0,9.0,6.0,5.0,4.5,1.5,1.6,93,0.96,0.33,0.89,68000,92,0.05,"storm-surge-gates,water-management,green-infra",World-leading water management and circular economy,90,#073b4c
16,Informal Megasettlement (Global Aggregate),Global,0.0,0.0,50,Scenario-Aggregate,100.0,110.0,130.0,150.0,165.0,180.0,500.0,550.0,620.0,680.0,710.0,740.0,3.1,0.5,28,0.22,0.96,0.31,1200,30,80.0,"informal,high-risk,migration",Aggregated high-risk settlements for scenario stress-testing,42,#6a4c93
17,London,UK,51.5074,-0.1278,11,Global City,9.0,9.2,9.4,9.5,9.6,9.7,60.0,50.0,35.0,25.0,20.0,15.0,1.8,1.2,85,0.92,0.4,0.88,72000,89,0.4,"green-roofs,ai-transport,net-zero-buildings",Strong retrofit & decarbonization,88,#4b8b3b
18,Paris,France,48.8566,2.3522,35,Global City,11.0,11.2,11.4,11.5,11.6,11.6,55.0,48.0,36.0,28.0,22.0,18.0,1.7,0.8,86,0.91,0.35,0.87,68000,88,0.3,"circular-economy,ai-health,smart-grid",Ambitious climate targets & circularity,87,#f67280
19,Moscow,Russia,55.7558,37.6173,156,Cold-Region Megacity,12.5,12.3,11.8,11.4,11.0,10.6,180.0,170.0,150.0,120.0,95.0,70.0,2.9,0.0,60,0.75,0.3,0.7,22000,70,-0.4,"energy-transition,industrial-automation,permafrost-monitoring",Climate opens northern routes & resource access,70,#6c5ce7
20,Tokyo,Japan,35.6762,139.6503,40,Tech Metropolis,13.9,13.5,13.0,12.5,12.2,11.9,110.0,95.0,70.0,48.0,38.0,30.0,1.7,0.9,89,0.95,0.42,0.91,54000,90,-0.2,"robotics,hydrogen-economy,ai-health",Advanced automation & health tech,89,#ff6b6b
21,Sydney,Australia,-33.8688,151.2093,58,Coastal City,5.4,5.7,6.1,6.4,6.6,6.8,40.0,36.0,28.0,22.0,18.0,15.0,1.9,0.9,88,0.89,0.45,0.86,60000,86,0.5,"coastal-hubs,blue-economy,solar-wind",Resilient coastal planning & marine economy,85,#00a896
22,Toronto,Canada,43.6532,-79.3832,76,Cold-Region City,2.9,3.1,3.4,3.6,3.8,4.0,20.0,18.0,14.0,10.0,8.0,6.0,2.1,0.0,86,0.91,0.3,0.88,52000,88,0.6,"green-infra,ai-health,transit-corridors",High living standards & electrification,86,#2b9348
23,Nairobi,Kenya,-1.2921,36.8219,1795,Regional Hub,4.4,5.2,7.0,9.5,12.5,15.0,10.0,12.0,20.0,40.0,70.0,110.0,3.3,0.0,45,0.5,0.88,0.58,6200,52,8.0,"solar-microgrids,informal-expansion,regional-hub",Rapid urban growth pressures,55,#f94144
24,Buenos Aires,Argentina,-34.6037,-58.3816,25,Coastal City,15.0,15.1,15.3,15.4,15.5,15.6,45.0,44.0,42.0,38.0,35.0,32.0,2.2,0.3,70,0.74,0.52,0.78,19000,75,0.2,"urban-forests,ai-transport,water-management",Stability & green spaces,74,#ff6363
25,Karachi,Pakistan,24.8607,67.0011,8,Coastal Megacity,16.1,18.0,22.0,26.0,30.0,33.0,70.0,85.0,120.0,170.0,220.0,270.0,3.5,1.6,30,0.4,0.98,0.45,2400,38,12.0,"informal-expansion,sea-walls,solar-rafts",High vulnerability to sea-level and heat,50,#b56576
